

        TIME                    RATE            ERROR
        s                       count/s         count/s
    194   1.884000000000000E+04   1.7846337E-02   1.7846337E-02
    195   1.890000000000000E+04   3.5900701E-02   2.5385629E-02
    196   1.896000000000000E+04   1.8136183E-02   1.8136183E-02
    197   1.902000000000000E+04   1.8189734E-02   1.8189734E-02
    198   1.908000000000000E+04   3.6706842E-02   2.5955657E-02
    199   1.914000000000000E+04   0.0000000E+00   0.0000000E+00
    200   1.920000000000000E+04   0.0000000E+00   0.0000000E+00
    201   1.926000000000000E+04   0.0000000E+00   0.0000000E+00
    202   1.932000000000000E+04   0.0000000E+00   0.0000000E+00
    203   1.938000000000000E+04   1.8689554E-02   1.8689554E-02
    204   1.944000000000000E+04   1.8981045E-02   1.8981045E-02
    205   1.950000000000000E+04   3.7875954E-02   2.6782345E-02
    206   1.956000000000000E+04   1.9186949E-02   1.9186949E-02
    207   1.962000000000000E+04   3.8061161E-02   2.6913304E-02
    208   1.968000000000000E+04   3.8036767E-02   2.6896056E-02
    209   1.974000000000000E+04   0.0000000E+00   0.0000000E+00
    210   1.980000000000000E+04   4.3679677E-02   3.0886196E-02
    211   1.986000000000000E+04   2.0851789E-02   2.0851789E-02
    212   1.992000000000000E+04   2.2314517E-02   2.2314517E-02
    213   1.998000000000000E+04   4.4562280E-02   3.1510290E-02
    214   2.004000000000000E+04   0.0000000E+00   0.0000000E+00
    215   2.010000000000000E+04   5.0829139E-02   3.5941627E-02
    216   2.016000000000000E+04   2.1293396E-02   2.1293396E-02
    217   2.022000000000000E+04   0.0000000E+00   0.0000000E+00
    218   2.058000000000000E+04   0.0000000E+00   0.0000000E+00
    219   2.064000000000000E+04   5.5905119E-02   3.2276835E-02
    220   2.070000000000000E+04   0.0000000E+00   0.0000000E+00
    221   2.316000000000000E+04   0.0000000E+00   0.0000000E+00
    222   2.322000000000000E+04   0.0000000E+00   0.0000000E+00
    223   2.328000000000000E+04   1.8000776E-02   1.8000776E-02
    224   2.334000000000000E+04   1.8819390E-02   1.8819390E-02
    225   2.340000000000000E+04   1.9271228E-02   1.9271228E-02
    226   2.346000000000000E+04   0.0000000E+00   0.0000000E+00
    227   2.352000000000000E+04   1.7864153E-02   1.7864153E-02
    228   2.358000000000000E+04   3.5970770E-02   2.5435174E-02
    229   2.364000000000000E+04   1.8014140E-02   1.8014140E-02
    230   2.370000000000000E+04   3.6103327E-02   2.5528906E-02
    231   2.376000000000000E+04   1.7933749E-02   1.7933749E-02
    232   2.382000000000000E+04   0.0000000E+00   0.0000000E+00
    233   2.388000000000000E+04   5.3677075E-02   3.0990472E-02
    234   2.394000000000000E+04   1.7956771E-02   1.7956771E-02
    235   2.400000000000000E+04   3.5912793E-02   2.5394181E-02
    236   2.406000000000000E+04   1.7814409E-02   1.7814409E-02
    237   2.412000000000000E+04   1.7971093E-02   1.7971093E-02
    238   2.418000000000000E+04   3.5720110E-02   2.5257932E-02
    239   2.424000000000000E+04   0.0000000E+00   0.0000000E+00
    240   2.430000000000000E+04   1.7920656E-02   1.7920656E-02
    241   2.436000000000000E+04   0.0000000E+00   0.0000000E+00
    242   2.442000000000000E+04   0.0000000E+00   0.0000000E+00
    243   2.448000000000000E+04   7.1545668E-02   3.5772834E-02
    244   2.454000000000000E+04   3.5819724E-02   2.5328370E-02
    245   2.460000000000000E+04   1.7917700E-02   1.7917700E-02
    246   2.466000000000000E+04   0.0000000E+00   0.0000000E+00
    247   2.472000000000000E+04   0.0000000E+00   0.0000000E+00
    248   2.478000000000000E+04   1.8149035E-02   1.8149035E-02
    249   2.484000000000000E+04   1.8180082E-02   1.8180082E-02
    250   2.490000000000000E+04   5.4460518E-02   3.1442795E-02
    251   2.496000000000000E+04   1.8343408E-02   1.8343408E-02
    252   2.502000000000000E+04   0.0000000E+00   0.0000000E+00
    253   2.508000000000000E+04   1.8371413E-02   1.8371413E-02
    254   2.514000000000000E+04   3.8109601E-02   2.6947558E-02
    255   2.520000000000000E+04   0.0000000E+00   0.0000000E+00
    256   2.526000000000000E+04   0.0000000E+00   0.0000000E+00
    257   2.532000000000000E+04   0.0000000E+00   0.0000000E+00
    258   2.538000000000000E+04   2.3853492E-02   2.3853492E-02
    259   2.544000000000000E+04   0.0000000E+00   0.0000000E+00
    260   2.550000000000000E+04   0.0000000E+00   0.0000000E+00
    261   2.556000000000000E+04   0.0000000E+00   0.0000000E+00
    262   2.562000000000000E+04   4.5222402E-02   3.1977065E-02
    263   2.568000000000000E+04   0.0000000E+00   0.0000000E+00
    264   2.574000000000000E+04   0.0000000E+00   0.0000000E+00
    265   2.580000000000000E+04   2.0023445E-02   2.0023445E-02
    266   2.586000000000000E+04   1.9581717E-02   1.9581717E-02
    267   2.592000000000000E+04   1.9631851E-02   1.9631851E-02
    268   2.598000000000000E+04   1.8113982E-02   1.8113982E-02
    269   2.604000000000000E+04   1.7951706E-02   1.7951706E-02
    270   2.610000000000000E+04   0.0000000E+00   0.0000000E+00
    271   2.616000000000000E+04   1.8267069E-02   1.8267069E-02
    272   2.622000000000000E+04   0.0000000E+00   0.0000000E+00
    273   2.628000000000000E+04   0.0000000E+00   0.0000000E+00
    274   2.634000000000000E+04   6.1787922E-02   3.5673272E-02
    275   2.640000000000000E+04   0.0000000E+00   0.0000000E+00
    276   2.646000000000000E+04   0.0000000E+00   0.0000000E+00
    277   2.898000000000000E+04   0.0000000E+00   0.0000000E+00
    278   2.904000000000000E+04   0.0000000E+00   0.0000000E+00
