

        TIME                    RATE            ERROR
        s                       count/s         count/s
    211   1.986000000000000E+04   4.4919515E-01   1.2458432E-01
    212   1.992000000000000E+04   4.4966951E-01   1.2471588E-01
    213   1.998000000000000E+04   1.0396498E-01   6.0024213E-02
    214   2.004000000000000E+04   4.8586601E-01   1.2985316E-01
    215   2.010000000000000E+04   2.4236023E-01   9.1603555E-02
    216   2.016000000000000E+04   3.4661406E-01   1.0960899E-01
    217   2.022000000000000E+04   2.9016483E-01   1.0258877E-01
    218   2.058000000000000E+04   0.0000000E+00   0.0000000E+00
    219   2.064000000000000E+04   2.7736723E-01   9.8064117E-02
    220   2.070000000000000E+04   3.7848997E-01   2.1852128E-01
    221   2.316000000000000E+04   0.0000000E+00   0.0000000E+00
    222   2.322000000000000E+04   1.9243076E-01   1.3606910E-01
    223   2.328000000000000E+04   4.4756749E-01   1.2413288E-01
    224   2.334000000000000E+04   5.5332971E-01   1.3833243E-01
    225   2.340000000000000E+04   2.0749618E-01   8.4709965E-02
    226   2.346000000000000E+04   1.3819101E-01   6.9095507E-02
    227   2.352000000000000E+04   4.1362604E-01   1.1940355E-01
    228   2.358000000000000E+04   3.1134495E-01   1.0378165E-01
    229   2.364000000000000E+04   3.1050584E-01   1.0350194E-01
    230   2.370000000000000E+04   2.7651337E-01   9.7762227E-02
    231   2.376000000000000E+04   5.1745498E-01   1.3360630E-01
    232   2.382000000000000E+04   4.4947278E-01   1.2466131E-01
    233   2.388000000000000E+04   3.7935808E-01   1.1438077E-01
    234   2.394000000000000E+04   3.7949613E-01   1.1442240E-01
    235   2.400000000000000E+04   2.7592483E-01   9.7554162E-02
    236   2.406000000000000E+04   3.7905863E-01   1.1429048E-01
    237   2.412000000000000E+04   2.4103017E-01   9.1100842E-02
    238   2.418000000000000E+04   5.1619488E-01   1.3328095E-01
    239   2.424000000000000E+04   2.4086970E-01   9.1040194E-02
    240   2.430000000000000E+04   4.4871569E-01   1.2445134E-01
    241   2.436000000000000E+04   6.8996839E-02   4.8788130E-02
    242   2.442000000000000E+04   1.7237903E-01   7.7090248E-02
    243   2.448000000000000E+04   3.1022057E-01   1.0340685E-01
    244   2.454000000000000E+04   2.0623168E-01   8.4193736E-02
    245   2.460000000000000E+04   2.4088573E-01   9.1046251E-02
    246   2.466000000000000E+04   2.0680028E-01   8.4425867E-02
    247   2.472000000000000E+04   3.1038326E-01   1.0346109E-01
    248   2.478000000000000E+04   4.1411909E-01   1.1954588E-01
    249   2.484000000000000E+04   4.1578358E-01   1.2002638E-01
    250   2.490000000000000E+04   4.8475617E-01   1.2955654E-01
    251   2.496000000000000E+04   2.4188785E-01   9.1425017E-02
    252   2.502000000000000E+04   1.7286712E-01   7.7308528E-02
    253   2.508000000000000E+04   4.8353705E-01   1.2923071E-01
    254   2.514000000000000E+04   4.1466224E-01   1.1970267E-01
    255   2.520000000000000E+04   3.8000515E-01   1.1457587E-01
    256   2.526000000000000E+04   3.7992418E-01   1.1455145E-01
    257   2.532000000000000E+04   2.4167103E-01   9.1343068E-02
    258   2.538000000000000E+04   1.7284134E-01   7.7296995E-02
    259   2.544000000000000E+04   3.8044900E-01   1.1470970E-01
    260   2.550000000000000E+04   2.0752752E-01   8.4722757E-02
    261   2.556000000000000E+04   4.1625705E-01   1.2016305E-01
